Date,Open,High,Low,Close,Adj Close,Volume
2016-11-22,114.589996,115.000000,112.269997,112.739998,99.453285,11649700
2016-11-23,112.250000,113.430000,111.559998,113.070000,99.744415,7892600
2016-11-25,113.599998,114.230003,113.379997,114.129997,100.679489,3433300
2016-11-28,113.790001,114.120003,113.050003,113.129997,99.797333,9065700
2016-11-29,112.949997,113.410004,112.169998,112.480003,99.223946,7799600
2016-11-30,112.190002,112.519997,111.300003,111.300003,98.183014,11178500
2016-12-01,111.360001,111.540001,111.000000,111.379997,98.253593,8143300
2016-12-02,111.720001,112.529999,111.440002,111.959999,98.765221,6167700
2016-12-05,112.400002,112.419998,111.730003,111.940002,98.747589,5451600
2016-12-06,112.239998,113.199997,111.849998,112.059998,98.853447,6530400
2016-12-07,111.889999,111.889999,109.320000,111.099998,98.006577,11761100
2016-12-08,110.540001,111.199997,109.930000,110.989998,97.909554,7774900
2016-12-09,111.410004,112.430000,111.199997,112.260002,99.029877,7672100
2016-12-12,112.690002,115.400002,112.580002,115.360001,101.764542,9544600
2016-12-13,115.529999,115.970001,115.010002,115.889999,102.232071,7051600
2016-12-14,116.120003,117.300003,114.580002,114.989998,101.438141,9378700
2016-12-15,115.330002,115.919998,114.889999,115.889999,102.232071,6738100
2016-12-16,116.410004,116.459999,115.459999,115.879997,102.223244,11291100
2016-12-19,116.070000,116.660004,115.940002,116.019997,102.346741,6310800
2016-12-20,115.980003,116.250000,114.910004,115.660004,102.029160,5715200
2016-12-21,116.199997,116.199997,114.739998,115.309998,101.720421,5907600
2016-12-22,115.000000,115.529999,113.879997,115.440002,101.835121,4602300
2016-12-23,115.400002,116.320000,115.300003,115.959999,102.293831,2992500
2016-12-27,115.889999,116.000000,115.379997,115.910004,102.249710,3232600
2016-12-28,115.879997,116.160004,115.050003,115.099998,101.535179,3278300
2016-12-29,115.230003,115.870003,115.010002,115.489998,101.879219,2993600
2016-12-30,115.800003,115.989998,114.980003,115.209999,101.632217,5506700
2017-01-03,115.779999,116.000000,115.230003,115.839996,102.187958,5953000
