Date,Open,High,Low,Close,Adj Close,Volume
2016-11-22,14.761854,14.832015,14.467178,14.618726,14.618726,2856648
2016-11-23,14.537339,14.688887,14.419469,14.464372,14.464372,2990982
2016-11-25,14.427888,14.711338,14.411050,14.646790,14.646790,905062
2016-11-28,14.593468,14.705726,14.537339,14.632758,14.632758,2637865
2016-11-29,14.599081,15.008821,14.599081,14.949885,14.949885,4771176
2016-11-30,15.028466,15.070562,14.924628,15.031272,15.031272,5082603
2016-12-01,15.028466,15.056530,14.385792,14.559791,14.559791,8015860
2016-12-02,14.506469,14.871305,14.318437,14.803951,14.803951,4767969
2016-12-05,14.823596,14.994788,14.742209,14.890950,14.890950,6389955
2016-12-06,14.823596,15.014434,14.792725,14.977950,14.977950,5912124
2016-12-07,14.935853,15.199658,14.837628,15.126691,15.126691,9804606
2016-12-08,15.090207,15.407335,14.958305,15.132304,15.132304,8274908
2016-12-09,15.109852,15.295077,15.036885,15.146336,15.146336,5978401
2016-12-12,15.154755,15.219303,14.896563,15.126691,15.126691,5849055
2016-12-13,15.112659,15.295077,15.067756,15.090207,15.090207,4376369
2016-12-14,15.059336,15.283851,15.022853,15.213690,15.213690,6546737
2016-12-15,15.295077,15.996686,15.258593,15.929332,15.929332,12845829
2016-12-16,15.895654,15.951783,15.651495,15.839526,15.839526,21293198
2016-12-19,15.758139,15.915300,15.668333,15.825494,15.825494,4347863
2016-12-20,15.881622,16.064041,15.856364,16.010717,16.010717,5251500
2016-12-21,15.937751,16.179106,15.845139,16.078074,16.078074,3799124
2016-12-22,16.010717,16.010717,15.567301,15.671140,15.671140,5606755
2016-12-23,15.592559,15.772171,15.575721,15.741300,15.741300,2123334
2016-12-27,15.741300,15.839526,15.690785,15.730075,15.730075,3583905
2016-12-28,15.727268,15.774978,15.455044,15.530818,15.530818,4705612
2016-12-29,15.455044,15.598172,15.334367,15.508366,15.508366,2970315
2016-12-30,15.491528,15.519592,15.365238,15.426980,15.426980,2866981
2017-01-03,15.457850,15.508366,15.194045,15.314722,15.314722,5804515
2017-01-04,15.356819,15.553269,15.356819,15.435399,15.435399,7486007
2017-01-05,15.379270,15.595366,15.379270,15.511173,15.511173,2956062
2017-01-06,15.586946,15.985460,15.536431,15.937751,15.937751,4745520
2017-01-09,15.833913,15.895654,15.617817,15.853558,15.853558,5008487
2017-01-10,15.828300,16.184717,15.808655,15.993880,15.993880,5933148
2017-01-11,16.061234,16.179106,16.005104,16.159458,16.159458,3199788
2017-01-12,16.052814,16.209974,15.934945,16.176298,16.176298,3034453
2017-01-13,16.139814,16.353104,16.137009,16.325039,16.325039,5908561
2017-01-17,16.302588,16.552361,16.181911,16.260490,16.260490,4932234
2017-01-18,16.224007,16.445717,16.176298,16.437298,16.437298,2487496
2017-01-19,16.381168,16.667423,16.302588,16.504650,16.504650,4574485
2017-01-20,16.499039,16.689877,16.490620,16.630941,16.630941,3960183
2017-01-23,16.569199,16.625328,16.176298,16.355909,16.355909,3911010
2017-01-24,16.445717,16.816166,16.383974,16.774069,16.774069,7179925
2017-01-25,16.838617,16.931229,16.709520,16.855455,16.855455,5854400
2017-01-26,16.905972,16.905972,16.698296,16.729166,16.729166,5667330
2017-01-27,17.251163,17.680548,17.175388,17.554258,17.554258,10710024
2017-01-30,17.427969,17.557064,17.307293,17.523388,17.523388,5309581
2017-01-31,17.427969,17.680548,17.371840,17.677740,17.677740,4879854
2017-02-01,17.630032,17.764742,17.456034,17.708612,17.708612,5165626
2017-02-02,17.621613,17.989256,17.551453,17.949966,17.949966,3918137
